[2024-11-05 10:30:47] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:30:57] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:07] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:10] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:17] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:20] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:27] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:30] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:37] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:40] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:46] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:47] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:50] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:31:57] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
[2024-11-05 10:32:00] [INFO] Data Exchange (Character Stream): ChargingStation:charger1, power:90.0
