[2024-11-05 10:31:17] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:20] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:27] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:30] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:37] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:40] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:46] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:47] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:50] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:31:57] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:00] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:06] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:07] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:10] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:16] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:17] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:20] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:26] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:27] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:30] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:37] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:40] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:46] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:47] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:50] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:55] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:56] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:32:57] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:00] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:05] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:06] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:07] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:10] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:15] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:16] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:17] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:20] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:25] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:26] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:27] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:30] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:35] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:36] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:37] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:40] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:45] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:47] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:47] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
[2024-11-05 10:33:50] [INFO] Data Exchange (Character Stream): ChargingStation:charger2, power:90.0
