[2024-11-05 10:16:55] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:17:05] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:17:15] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:17:25] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:17:35] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:17:45] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:17:55] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:18:05] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:18:15] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:18:25] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:18:35] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:18:45] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:18:55] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:19:05] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:19:15] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:19:25] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:19:35] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:19:45] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:19:55] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:20:05] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:20:15] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:20:25] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:20:35] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:20:45] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:20:55] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:21:05] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:21:15] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:21:25] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:21:35] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:21:45] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:21:55] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:22:05] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:22:15] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:22:25] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:22:35] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:22:45] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:22:55] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:23:05] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:23:15] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:23:25] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:23:35] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:23:45] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
[2024-11-05 10:23:55] [INFO] Data Exchange (Character Stream): ChargingStation:oven, power:100.0
